Product_category,Description,Price,Image
Television,Orient Hawk 40 FHD LED TV..,"3,000.00",https://salmanelectronics.com/wp-content/uploads/2020/11/orie-247x260.png
Television,Panasonic 32 Inch LED (TH..,"4,000.00",https://salmanelectronics.com/wp-content/uploads/2020/11/product_88194_1_thumb-247x260.jpg
Television,PEL 32 Inch FULL HD TV,"9,000.00",https://salmanelectronics.com/wp-content/uploads/2020/11/pel-247x260.png
Television,Pel 32″ Smart LED T..,"4,900.00",https://salmanelectronics.com/wp-content/uploads/2020/11/32-247x260.png
Television,PEL ColorOn 40″ Ful..,"3,000.00",https://salmanelectronics.com/wp-content/uploads/2020/11/pel40-247x260.png
Television,PEL ColorOn Full HD LED T..,"7,000.00",https://salmanelectronics.com/wp-content/uploads/2020/11/coloron-smart-full-hd-247x260.jpg
Television,PEL ColorOn Full HD LED T..,"2,000.00",https://salmanelectronics.com/wp-content/uploads/2020/04/HD-49-247x260.jpg
Television,TCL 32″ S6500 SMART..,"6,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/tcl_smart_front-247x260.png
Television,TCL 40″ S6500 SMART..,"8,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/tcl_smart_front-247x260.png
Television,TCL 50″ 4K P6 ULTRA..,"0,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/tcl_p6_front-247x260.png
Television,TCL 65″ 4K P6 ULTRA..,"65,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/tcl_p6_front-247x260.png
Water dispenser,ECO STAR WD 300,"4,900.00",https://salmanelectronics.com/wp-content/uploads/2020/02/ecostar_2_tap_water_dispenser_wd-300_15000-247x260.jpg
Water dispenser,ECO STAR WD 351FC,"6,500.00",https://salmanelectronics.com/wp-content/uploads/2020/02/WD-351FC-247x260.png
Water dispenser,OWD-529 Water Dispenser w..,"6,500.00",https://salmanelectronics.com/wp-content/uploads/2020/05/WD2tab_2x_8d0bbfab-5abc-451e-9272-d7d07f313130_2000x_crop_center-247x260.png
Water dispenser,PEL 115 Curved Glassdoor ..,"9,500.00",https://salmanelectronics.com/wp-content/uploads/2020/05/PB-1-247x260.jpg
Water dispenser,PEL 115 Smart Water Dispe..,"7,900.00",https://salmanelectronics.com/wp-content/uploads/2020/05/smart_115-247x260.jpg
Washing machine,Auto 6.5 Super Grey Washi..,"1,900.00",https://salmanelectronics.com/wp-content/uploads/2020/01/images-4-247x260.jpg
Washing machine,Auto 8 Kg Super Grey Wash..,"9,900.00",https://salmanelectronics.com/wp-content/uploads/2020/01/images-4-247x260.jpg
Washing machine,BOSS KE 1500,"3,900.00",https://salmanelectronics.com/wp-content/uploads/2019/12/1500-min-247x260.jpg
Washing machine,"Boss Washing Machine	3000..","2,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/3000-1-247x260.jpg
Washing machine,"Boss Washing Machine	8000..","2,500.00",https://salmanelectronics.com/wp-content/uploads/2019/06/8000CSL-1-247x260.jpg
Washing machine,"Boss Washing Machine	KE 1..",",500.00",https://salmanelectronics.com/wp-content/uploads/2019/06/KE1500-PLUS-247x260.jpg
Washing machine,"Boss Washing Machine	KE-1..","1,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/1500-1-247x260.jpg
Washing machine,BOSS Washing Machine KE-4..,"2,500.00",https://salmanelectronics.com/wp-content/uploads/2019/06/KE-4000-BS-1-247x260.jpg
Washing machine,Gaba National Single Tub ..,"1,850.00",https://salmanelectronics.com/wp-content/uploads/2020/11/wm3-247x260.png
Washing machine,Gaba National Washing Mac..,"3,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/gaba-national-washing-machine-247x260.jpg
Washing machine,HAIER 120AS,"5,000.00",https://salmanelectronics.com/wp-content/uploads/2019/12/Haier-HWM-120AS-Main-Resize-247x260.jpg
Washing machine,HAIER 75AS,"7,000.00",https://salmanelectronics.com/wp-content/uploads/2019/12/75-247x260.png
Washing machine,HAIER 80000,"7,900.00",https://salmanelectronics.com/wp-content/uploads/2019/12/asaaam-1234-500x500-247x260.png
Washing machine,HAIER 8035,"2,000.00",https://salmanelectronics.com/wp-content/uploads/2019/12/w020120913798582418412-247x260.png
Washing machine,HAIER 80AS,"7,000.00",https://salmanelectronics.com/wp-content/uploads/2019/12/HWM-80-AS-247x260.jpg
Washing machine,Haier Fully Automatic Mac..,"3,900.00",https://salmanelectronics.com/wp-content/uploads/2020/10/111-247x260.png
Washing machine,Haier Fully Automatic Was..,"0,900.00",https://salmanelectronics.com/wp-content/uploads/2020/10/Haier-7kg-Top-Load-Washing-Machine-HWM75-918-247x260.jpg
Washing machine,Haier HWM 120-826 Washing..,"9,000.00",https://salmanelectronics.com/wp-content/uploads/2020/11/haier-top-load-fully-automatic-washing-machine-12-kg-grey-_hwm-120-826__1-247x260.jpg
Washing machine,"Haier Washing Machine	100..","8,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/HWM-100-AS-247x260.png
Washing machine,"Haier Washing Machine	100..","8,500.00",https://salmanelectronics.com/wp-content/uploads/2019/06/HWM-100-BS-247x260.png
Washing machine,"Haier Washing Machine	120..","5,500.00",https://salmanelectronics.com/wp-content/uploads/2019/06/120-AS-247x260.png
Washing machine,"Haier Washing Machine	120..","4,500.00",https://salmanelectronics.com/wp-content/uploads/2019/06/haier-12035-1-247x260.jpg
Washing machine,"Haier Washing Machine	800..","8,500.00",https://salmanelectronics.com/wp-content/uploads/2019/06/80000-247x260.png
Washing machine,"Haier Washing Machine	801..","8,500.00",https://salmanelectronics.com/wp-content/uploads/2019/06/80100SR-247x260.jpeg
Washing machine,"Haier Washing Machine	803..","2,000.00",https://salmanelectronics.com/wp-content/uploads/2019/06/8035-247x260.jpeg
