Product_category,Description,Price,Image
Electric Kettle,WHISTLING KETTLE LIFE SMILE TK3-6N,"3,395",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-12-29-at-12.49.47-PM_250x250_crop_center.jpg?v=1614153809
Electric Kettle,KETTLE STEEL 4 LTR IR 0057,"2,195",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-12-29-at-12.53.39-PM_250x250_crop_center.jpg?v=1614153805
Electric Kettle,BLACK & DECKER KETTLE JC250 PC,"5,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-12-29-at-5.25.39-PM_250x250_crop_center.jpg?v=1614153778
Electric Kettle,SANFORD ELECTRIC KETTLE 1.7 LTR SF1851EK,"3,400",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-08-at-1.15.40-PM_250x250_crop_center.jpg?v=1614153380
Electric Kettle,MIDEA KETTLE MKHT1705B,"8,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-08-at-1.18.32-PM_250x250_crop_center.jpg?v=1614153379
Electric Kettle,BERGAMO KETTLE 2441GG,"4,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000309026_250x250_crop_center.png?v=1614153010
Electric Kettle,AKAI KETTLE 818SSN,"4,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000309034_250x250_crop_center.png?v=1614152973
Electric Kettle,SHARP KETTLE EKJ156-3,"6,700",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000310742_b10d2a0d-281a-473d-8b78-c1786b1589ec_250x250_crop_center.png?v=1615552055
Coffee maker,SENCOR COFFEE MAKER SCE5000BK,"8,400",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-14-at-9.55.45-AM_250x250_crop_center.jpg?v=1614152894
Coffee maker,DELONGHI COFFEE MAKER ECAM45.760W,"214,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-14-at-9.58.59-AM_250x250_crop_center.jpg?v=1614152891
Coffee maker,SAGE COFFEE MAKER SES878BTR,"219,000",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-14-at-10.01.57-AM_250x250_crop_center.jpg?v=1614152888
Electric Kettle,BERGAMO KETTLE 2441TSP,"4,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000309029_250x250_crop_center.png?v=1614148929
Electric Kettle,CROWN LINE ELECTRIC KETTLE KT-158,"6,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000309104_250x250_crop_center.png?v=1614148922
Electric Kettle,ARSHIA ELECTRIC KETTLE EK14012253,"4,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000310715_2b44b69c-e6c3-4dd9-a4e3-c420d135b5dc_250x250_crop_center.png?v=1615552053
Electric Kettle,SHARP KETTLE EXJX43-53,"7,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000310743_5f09ccc5-fff9-4394-b1de-7c121a6d6795_250x250_crop_center.png?v=1615552057
Electric Kettle,MIDEA KETTLE MK17S32A,"4,200",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000312075_52fe37d0-be58-4733-b44d-781b855070ed_250x250_crop_center.png?v=1615552088
Electric Kettle,SENCOR ELECTRIC KETTLE SWK1778BK,"7,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000317750_250x250_crop_center.png?v=1614147617
Coffee maker,SENCOR COFFEE MAKER SCE2000BK,"5,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000317753_250x250_crop_center.png?v=1614147610
Electric Kettle,CAMBRIDGE ELECTRIC KETTLE SK9789,"3,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000318331_250x250_crop_center.png?v=1614147582
Coffee maker,CAMBRIDGE COFFEE GRINDER CG502,"5,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000318333_250x250_crop_center.png?v=1614147577
Coffee maker,WEST POINT COFFEE GRINDER 9224,"5,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000319376_250x250_crop_center.png?v=1614147551
Coffee maker,GEEPAS COFFEE MAKER GCM6108,"20,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000320651_250x250_crop_center.png?v=1614147520
Vacuum cleaner,PHILIPS VACUUM CLEANER FC9350 BASIC,"18,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000205016_250x250_crop_center.jpg?v=1614147487
Vacuum cleaner,SMART RECHARGEABLE SHAWER GFSC1OR BASIC,"16,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/afp-000014153_250x250_crop_center.png?v=1615551449
Vacuum cleaner,ARSHIA VACUUM CLEANER VC6122604,"16,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000299641_250x250_crop_center.png?v=1615179637
Vacuum cleaner,ARSHIA VACUUM CLEANER VC6122602,"15,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000299642_250x250_crop_center.png?v=1615179639
Vacuum cleaner,PANASONIC VACUUM CLEANER 711 PC,"22,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000107173_c800b538-e5f2-4590-8b6a-2441b58c1436_250x250_crop_center.png?v=1615551591
Vacuum cleaner,HITACHI VACUUM CLEANER CV960,"23,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/34-1_250x250_crop_center.jpg?v=1614164349
Vacuum cleaner,PANASONIC VACCUM CLEANER MC690,"19,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/alfatah-Islamabad-24-5_250x250_crop_center.jpg?v=1614162920
Vacuum cleaner,HITACHI VACUUM CLEANER CV-950F,"22,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/alfatah-Islamabad-21-4_250x250_crop_center.jpg?v=1614162919
Vacuum cleaner,PALSON VACUUM CLEANER 30970,"16,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/IMG-20200415-WA0041_250x250_crop_center.jpg?v=1614161881
Vacuum cleaner,RUSSEL HOBBS VACUUM CLEANER K403-2,"19,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/IMG-20200415-WA0072_250x250_crop_center.jpg?v=1614161880
Vacuum cleaner,PANASONIC VACUUM CLEANER CG521 PC,"18,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/IMG-20200416-WA0062_250x250_crop_center.jpg?v=1614161804
Vacuum cleaner,TEFAL VACUUM CLEANER TW3724HA,"17,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/IMG-20200416-WA0058_250x250_crop_center.jpg?v=1614161797
Vacuum cleaner,SHARP VACUUM CLEANER ECCA2422,"22,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000309116_dfeeebd9-c614-4030-9331-09934881e3df_250x250_crop_center.png?v=1615552048
Vacuum cleaner,DAEWOO VACUUM CLEANER RCG110,"13,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000310861_5f65749b-ff97-468a-98e8-2577ae5da172_250x250_crop_center.png?v=1615552066
Vacuum cleaner,SAMSUNG VACUUM CLEANER SC20M2510 BASIC,"18,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000176548_250x250_crop_center.jpg?v=1614147494
Electric shaver,PHILIPS TRIMMER ONE BLADE QP2520/20,"5,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000318302_250x250_crop_center.png?v=1614147584
Electric shaver,PHILIPS NOSE TRIMMER NT1650/16,"2,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000317746_250x250_crop_center.png?v=1614147621
Electric shaver,PRITECH MEN BEARD TRIMMER PR2308,"2,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000302051_250x250_crop_center.png?v=1615552061
Electric shaver,REMINGTON TRIMMER MB4200 BASIC,"6,800",//cdn.shopify.com/s/files/1/0522/2357/4165/products/afp-000169450_250x250_crop_center.png?v=1615552074
Electric shaver,GEEPAS TRIMMER GTR56023,"3,400",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000301654_250x250_crop_center.png?v=1615551806
Electric shaver,PRITECH BEARD TRIMMER PR2358,"2,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000302052_250x250_crop_center.png?v=1615179691
Electric shaver,BRAUN BLACK BEAUTY TRIMMER BT070,"3,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000313447_250x250_crop_center.png?v=1615030588
Electric shaver,SANFORD TRIMMER SF9738HC,"2,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/IMG-20200422-WA0037_250x250_crop_center.jpg?v=1614161571
Electric shaver,ENZO LADIES SHAVER IR EN5588,"6,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-08-07-at-13.33.46_250x250_crop_center.jpg?v=1614158291
Electric shaver,WEST POINT HAIR CLIPPER 6713,"2,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-12-at-12.31.17-PM_250x250_crop_center.jpg?v=1614152963
Electric shaver,KEMEI TRIMMER PG102,"3,595",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000310872_e9999a19-3ebb-4182-b74f-5e52d71e5c6b_250x250_crop_center.png?v=1615551888
Electric shaver,WAHL SHAVER AND TRIMMER 9880 PC,"11,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/afp-000004170_250x250_crop_center.png?v=1615552078
Electric shaver,REMINGTON TRIMMER 4120 BASIC,"3,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/afp-000133517_250x250_crop_center.png?v=1615552070
Electric shaver,WEST POINT HAIR CLIPPER 6813,"3,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000302054_250x250_crop_center.png?v=1615552081
Electric shaver,REMINGTON TRIMMER 4128,"7,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/afp-000273501_250x250_crop_center.png?v=1615552071
Electric shaver,PRITECH HAIR TRIMMER RECHARGEABLE PR2212,"5,200",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000302050_250x250_crop_center.png?v=1615552059
Electric shaver,BRAUN FOIL 31B BASIC,"5,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/afp-000075137_250x250_crop_center.png?v=1615551649
Electric shaver,BRAUN FOIL 11B BASIC,"2,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/afp-000075135_250x250_crop_center.png?v=1615551510
Electric shaver,PRITECH HAIR CLIPPER PR2494,"3,200",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000302046_250x250_crop_center.png?v=1615179689
Electric shaver,PHILIPS SHAVER S1121,"8,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000310769_250x250_crop_center.png?v=1615030579
Electric shaver,REMINGTON TRIMMER 180 PC,"3,600",//cdn.shopify.com/s/files/1/0522/2357/4165/products/51-1_250x250_crop_center.jpg?v=1614163623
Electric shaver,REMINGTON NOSE TRIMMER NE3850 BASIC,"2,800",//cdn.shopify.com/s/files/1/0522/2357/4165/products/52-1-1_250x250_crop_center.jpg?v=1614163621
Electric shaver,CHAOBO SHAVER IR RSCX3300,"2,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-12-02-at-11.36.35-AM_250x250_crop_center.jpg?v=1614163422
Electric shaver,PANASONIC BEARD TRIMMER ER-GD 40-K BASIC,"11,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/alfatah-Islamabad-33-3_250x250_crop_center.jpg?v=1614163421
Electric shaver,GEMEI TRIMMER GM-6066 BASIC,"3,595",//cdn.shopify.com/s/files/1/0522/2357/4165/products/alfatah-Islamabad-21-10_250x250_crop_center.jpg?v=1614163037
Electric shaver,GEMEI TRIMMER GM-793 BASIC,"2,995",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-12-02-at-11.33.37-AM_250x250_crop_center.jpg?v=1614163036
Electric shaver,ROZIA BEAUTY GROOMING IR HB6008,"3,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-12-02-at-11.35.47-AM_250x250_crop_center.jpg?v=1614163035
Electric shaver,PANASONIC TRIMMER ER240,"3,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/IMG-20200617-WA0016_250x250_crop_center.jpg?v=1614159756
Electric shaver,ROZIA PRO TRIMMER IR HQ9531B,"3,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-08-13-at-7.09.12-PM_250x250_crop_center.jpg?v=1614158109
Electric shaver,GEEMY TRIMMER IR GM-6012,"1,395",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-08-13-at-7.07.39-PM_250x250_crop_center.jpg?v=1614158107
Electric shaver,REMINGTON TRIMMER MB320C,"6,200",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-09-03-at-6.57.42-PM_250x250_crop_center.jpg?v=1614157489
Electric shaver,PHILIPS SHAVER S5050 BASIC,"11,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-09-03-at-7.07.11-PM_250x250_crop_center.jpg?v=1614157479
Electric shaver,KEMEI TRIMMER IR KM1913,"2,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-12-29-at-5.28.09-PM_250x250_crop_center.jpg?v=1614153775
Electric shaver,KEMEI HAIR CLIPPER KM5021,"2,695",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-12-at-12.25.50-PM_250x250_crop_center.jpg?v=1614152970
Electric shaver,PRITECH HAIR CLIPPER PR2238,"2,800",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-12-at-12.29.29-PM_250x250_crop_center.jpg?v=1614152964
Electric shaver,PRITECH BLADE TRIMMER PR2606,"2,400",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-12-at-12.32.00-PM_250x250_crop_center.jpg?v=1614152961
Electric shaver,KEMEI HAIR CLIPPER KM8509,"3,795",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000310870_aa998cc7-ceb0-42c4-8093-77750d7b5a3f_250x250_crop_center.png?v=1615551861
Electric shaver,KEMEI HAIR CLIPPER KM9160,"6,195",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000310869_5fb792dc-1a6c-4c4d-baa2-29860540fcd2_250x250_crop_center.png?v=1615551863
Electric shaver,BRAUN BEAUTY SET 5 5875,"23,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000313444_250x250_crop_center.jpg?v=1614149236
Electric shaver,PHILIPS SHAVER S6630,"31,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000310766_93436401-5f2d-4d47-8d5d-70cd14b52535_250x250_crop_center.png?v=1615552014
Electric shaver,BABYLISS SHAVER T800E,"6,195",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000310878_5c01918b-d08c-44c0-a2de-8e3d2c2307d6_250x250_crop_center.png?v=1615551506
Electric shaver,BABYLISS NOSE TRIMMER E650E,"3,295",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000310880_1cbbce9b-783c-48bd-b74a-22e7d775ca09_250x250_crop_center.png?v=1615551447
Hair dryer,REMINGTON STRAIGHTENER S8540,"8,400",//cdn.shopify.com/s/files/1/0522/2357/4165/products/alfatah-Islamabad-80_250x250_crop_center.jpg?v=1614163132
Hair dryer,REMINGTON CURLER CI5538,"5,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/alfatah-Islamabad-14-4_250x250_crop_center.jpg?v=1614163121
Hair dryer,REMINGTON HAIR DRYER 2400 PC,"4,000",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-04-at-4.07.47-PM_250x250_crop_center.jpg?v=1614153518
Hair dryer,KEMEI CURLY HAIR STRAIGHTENER 2209 BASIC,"2,400",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-08-10-at-14.18.40_250x250_crop_center.jpg?v=1614163119
Hair dryer,REMINGTON HAIR DRYER D3015 PC,"5,200",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-29-at-3.40.27-PM_250x250_crop_center.jpg?v=1614151623
Hair dryer,REMINGTON HAIR STRAIGHTENER S1A100,"4,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-29-at-3.43.22-PM_250x250_crop_center.jpg?v=1614151610
Hair dryer,REMINGTON HAIR STRAIGHTENER SI1450 BASIC,"3,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-10-29-at-6.41.22-PM_250x250_crop_center.jpg?v=1614163387
Hair dryer,REMINGTON HAIR STRAIGHTNER 7300 BASIC,"7,200",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-10-12-at-12.17.26-PM_250x250_crop_center.jpg?v=1614163143
Hair dryer,REMINGTON CURLER PRO SPIRAL C15519,"5,400",//cdn.shopify.com/s/files/1/0522/2357/4165/products/alfatah-Islamabad-13-4_250x250_crop_center.jpg?v=1614163126
Hair dryer,ROZIA HAIR CURLER IR HR772,"3,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-10-12-at-12.36.01-PM_250x250_crop_center.jpg?v=1614163046
Hair dryer,REMINGTON HAIR DRYER 1500 BASIC,"4,200",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-04-at-4.09.11-PM_250x250_crop_center.jpg?v=1614153517
Hair dryer,REMINGTON HAIR DRYER 6090 BASIC,"5,200",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-04-at-4.04.38-PM_250x250_crop_center.jpg?v=1614153515
Hair dryer,REMINGTON DUAL CURL CI63EI BASIC,"6,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-29-at-3.46.01-PM_250x250_crop_center.jpg?v=1614151631
Hair dryer,SIEMENS HAND DRYER METAL TH92001,"15,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000317222_250x250_crop_center.png?v=1614147645
Hair dryer,ENZO HAIR STRAIGHTENER 3843 IR 604-607,"4,000",//cdn.shopify.com/s/files/1/0522/2357/4165/products/afp-000250382_250x250_crop_center.png?v=1615551793
Hair dryer,ENZO HAIR DRYER 6115 IR 562-566,"4,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/afp-000250371_250x250_crop_center.png?v=1615551791
Hair dryer,REMINGTON PEARL WAND C195 PC,"5,600",//cdn.shopify.com/s/files/1/0522/2357/4165/products/afp-000127708_250x250_crop_center.png?v=1615551630
Hair dryer,ENZO HAIR STRAIGHTENER IR EN5111H,"4,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/AFP-000226251_6e846d0b-60da-4e52-9c84-0b510606f19e_250x250_crop_center.png?v=1615030520
Hair dryer,REMINGTON STRAIGT BRUUSH 7400 BASIC,"7,400",//cdn.shopify.com/s/files/1/0522/2357/4165/products/47-2_250x250_crop_center.jpg?v=1614167805
Hair dryer,ENZO HAIR STRAIGHTENER 5118 IR 597-596,"6,500",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-12-02-at-11.42.51-AM_250x250_crop_center.jpg?v=1614164552
Hair dryer,SASSON HAIR STRAIGHTENER BS131,"6,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-10-01-at-2.51.11-PM_250x250_crop_center.jpg?v=1614164231
Hair dryer,REMINGTON CURLING ROD CI96 PC,"7,200",//cdn.shopify.com/s/files/1/0522/2357/4165/products/alfatah-Islamabad-79_250x250_crop_center.jpg?v=1614164224
Hair dryer,PANASONIC HAIR STRAIGHTNER HS41,"5,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-10-12-at-12.30.13-PM_250x250_crop_center.jpg?v=1614164223
Hair dryer,PANASONIC HAIR STRAIGHTNER HV20 BASIC,"6,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/19-9_250x250_crop_center.jpg?v=1614164221
Hair dryer,PANASONIC HAIR DRYER NE-71 BASIC,"5,800",//cdn.shopify.com/s/files/1/0522/2357/4165/products/4-4_250x250_crop_center.jpg?v=1614163783
Hair dryer,CONFU HAIR DRYER IR 3127,"6,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2021-01-04-at-4.02.20-PM_250x250_crop_center.jpg?v=1614163140
Hair dryer,PHILIPS HAIR STRAIGHTENER HP8316,"5,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/IMG-20200702-WA0026_250x250_crop_center.jpg?v=1614163128
Hair dryer,ROZIZ HAIR CURLER IR HR773,"4,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/WhatsApp-Image-2020-10-12-at-12.37.05-PM_250x250_crop_center.jpg?v=1614163044
Hair dryer,HAND DRYER IR W1-W8,"13,900",//cdn.shopify.com/s/files/1/0522/2357/4165/products/alfatah-Islamabad-30-2_250x250_crop_center.jpg?v=1614162917
