Product_category,Description,Price,Image
Toaster,Sencor STS 32BL Toaster,"5,448",https://cdn.homeshopping.pk/product_images/z/998/index__34985_thumb.jpg
Toaster,Sencor STS 36YL Toaster,"5,448",https://cdn.homeshopping.pk/product_images/z/789/index__82166_thumb.jpg
Toaster,Cambridge TT 318 Slice Toaster,"5,030",https://cdn.homeshopping.pk/product_images/v/434/Cambridge-Slice-Toaster-TT-318__18463_thumb.jpg
Toaster,Jackpot JP-804 Sandwich Maker,"3,350",https://cdn.homeshopping.pk/product_images/h/412/jackpot_sandwich_maker_jp-804_new__11833_thumb.jpg
Toaster,Super Asia ET-501 Toaster,"3,499",https://cdn.homeshopping.pk/product_images/v/505/ET-501-1__28998_thumb.jpg
Toaster,Super Asia ET-502 Toaster,"3,499",https://cdn.homeshopping.pk/product_images/y/815/2b9e32f7583e40c684d64c2bc20534d7__93747_thumb.jpg
Toaster,Jackpot JP-862 2 Slice Toaster,"4,100",https://cdn.homeshopping.pk/product_images/i/618/jackpot_2_slice_toaster_jp-862__1_1_1__68908_thumb.jpg
Water geyser,Boss Electric Instant Geyser KE-SIE-25-CL-Supreme,"17,200",https://cdn.homeshopping.pk/product_images/r/587/KE-SIE-15-CL-SUPREME__11820_thumb.jpg
Water geyser,Boss KE-SIE-50-CL-Diamond Electric Water Heater,"19,159",https://cdn.homeshopping.pk/product_images/g/192/50-cl-daimond__36562_thumb.jpg
Water geyser,Boss KE-SIE-50-CL-Supreme Electric Water Heater,"18,695",https://cdn.homeshopping.pk/product_images/p/094/50-cl-min__26676_thumb.jpg
Water geyser,Boss KE-SIE-15CL-Supreme Instant Electric Water Geyser,"14,495",https://cdn.homeshopping.pk/product_images/q/973/bac001a6166ffc353b6ccdf83be3abb7.jpg_720x720q75__60027_thumb.jpg
Water geyser,Boss KE-SIE-10-CL-Supreme Electric Water Heater,"13,710",https://cdn.homeshopping.pk/product_images/v/790/15-cl-min__95982_thumb.jpg
Water geyser,Boss KE-IZ-7-8CL-B-LPG Instant Water Heater,"12,895",https://cdn.homeshopping.pk/product_images/j/476/7-8cl-b-min__96964_thumb.jpg
Water geyser,Boss KE-I-20-CL Instant Gas Water Heater,"31,295",https://cdn.homeshopping.pk/product_images/n/328/KE-1-6.81012-Cl-450x450__52378_thumb.jpg
Water geyser,Boss KE-IZ-7-8-CL-G-Gas Instant Water Heater,"12,995",https://cdn.homeshopping.pk/product_images/t/346/7-8cl-g-min__50364_thumb.jpg
Water geyser,Nasgas DG-06L Crystal Instant Gas Geyser,"10,470",https://cdn.homeshopping.pk/product_images/j/835/1__03432_thumb.jpg
Water geyser,Boss K.E.SIE-10CL Boss Instant Water Heater(Electric),"17,085",https://cdn.homeshopping.pk/product_images/v/223/index__15971_thumb.jpg
Water geyser,Nasgas DE 10 Electric Geyser 10 Gallon – White,"12,499",https://cdn.homeshopping.pk/product_images/k/524/geyser__40554_thumb.png
Water geyser,Nasgas DE 15 Electric Geyser 15 Gallon – White,"14,699",https://cdn.homeshopping.pk/product_images/q/107/geyser__82273_thumb.png
Water geyser,Orient Instant Geyser 6 Litres - Natural Gas - 06-HG-B,"9,452",https://cdn.homeshopping.pk/product_images/r/574/Capture12wq__03433_thumb.JPG
Electric shaver,Philips BG3005/15 Showerproof Body Groomer,"8,299",https://cdn.homeshopping.pk/product_images/t/134/BG3005_15-IMS-en_SG__82268_thumb.png
Electric shaver,Braun BT5050 Beard Trimmer,"14,199",https://cdn.homeshopping.pk/product_images/t/887/13796__11600_thumb.jpg
Hair dryer,Anex (AG-7045) Deluxe Epilator with official warranty,"4,099",https://cdn.homeshopping.pk/product_images/z/632/anex_decluxe_epilator_ag-7045_15000_1__01318_thumb.jpg
Electric shaver,Anex (AG-7066) Deluxe Hair Trimmer with official warranty,"2,699",https://cdn.homeshopping.pk/product_images/m/284/anex_deluxe_hair_trimmer_ag-7066__2__38961_thumb.jpg
Electric shaver,Philips BT3216/14 Beard Trimmers,"10,299",https://cdn.homeshopping.pk/product_images/l/602/71fqz_pqool._ac_sl1200___63977_thumb.jpg
Electric shaver,Anex (AG-7065) Deluxe Hair Trimmer with official warranty,"2,599",https://cdn.homeshopping.pk/product_images/l/459/anex_deluxe_hair_trimmer_ag-7065__2__49683_thumb.jpg
Hair dryer,PHILIPS BHC010/10 EssentialCare Hairdryer 1200-W - Black,"2,999",https://cdn.homeshopping.pk/product_images/h/275/BHC010_10-RTP-global-001__08356_thumb.jpg
Hair dryer,Sencor SHP 8400BK Hair Clipper - Black,"7,698",https://cdn.homeshopping.pk/product_images/h/302/sencor-hair-clipper-black-_shp-8400bk__1__45244_thumb.jpg
Electric shaver,Philips Bt3206/14 Beard Trimmer Series 3000,"9,799",https://cdn.homeshopping.pk/product_images/q/129/philips-beard-trimmer-series-3000-_bt320614___27496_thumb.jpg
Hair dryer,PHILIPS BHD004/00 Essential Care Hairdryer 1800-W - Black,"4,899",https://cdn.homeshopping.pk/product_images/u/364/BHD004_00-RTP-global-001__03133_thumb.jpg
Electric shaver,Anex AG 7068 Hair Trimmer,"2,099",https://cdn.homeshopping.pk/product_images/g/260/Hair-Trimmer-AG-7068-550x630__01648_thumb.png
Electric shaver,Philips NT3160/10 Nose And Ear Trimmer,"3,599",https://cdn.homeshopping.pk/product_images/a/373/sony__24927_thumb.jpg
Electric shaver,Anex AG 7062 Hair Trimmer,"1,899",https://cdn.homeshopping.pk/product_images/p/768/anex-hair-trimmer-_ag-7062__1_1__02744_thumb.jpg
Hair dryer,PHILIPS BHD002/00 EssentialCare Compact Hairdryer 1600W - Black,"4,099",https://cdn.homeshopping.pk/product_images/z/458/BHD002_00-RTP-global-001__91577_thumb.jpg
